DATETIME,price
1978-12-18 00:00:00,-143.2000000000005
1978-12-19 00:00:00,-142.40000000000055
1978-12-20 00:00:00,-143.40000000000055
1978-12-21 00:00:00,-143.40000000000055
1978-12-22 00:00:00,-144.20000000000053
1978-12-26 00:00:00,-147.7000000000006
1978-12-27 00:00:00,-147.7000000000006
1978-12-28 00:00:00,-146.6000000000006
1978-12-29 00:00:00,-147.6000000000006
1979-01-02 00:00:00,-148.30000000000052
1979-01-03 00:00:00,-151.10000000000048
1979-01-04 00:00:00,-149.80000000000052
1979-01-05 00:00:00,-148.7000000000006
1979-01-08 00:00:00,-147.40000000000055
1979-01-09 00:00:00,-147.00000000000057
1979-01-10 00:00:00,-147.50000000000057
1979-01-11 00:00:00,-147.30000000000052
1979-01-12 00:00:00,-146.30000000000052
1979-01-15 00:00:00,-143.00000000000057
1979-01-16 00:00:00,-143.40000000000055
1979-01-17 00:00:00,-144.6000000000005
1979-01-18 00:00:00,-144.6000000000005
1979-01-19 00:00:00,-143.80000000000055
1979-01-22 00:00:00,-143.10000000000048
1979-01-23 00:00:00,-142.80000000000052
1979-01-24 00:00:00,-144.1000000000005
1979-01-25 00:00:00,-143.10000000000048
1979-01-26 00:00:00,-146.7000000000006
1979-01-29 00:00:00,-147.2000000000006
1979-01-30 00:00:00,-144.90000000000057
1979-01-31 00:00:00,-143.70000000000053
1979-02-01 00:00:00,-144.0000000000006
1979-02-02 00:00:00,-140.7000000000005
1979-02-05 00:00:00,-138.80000000000052
1979-02-06 00:00:00,-139.50000000000057
1979-02-07 00:00:00,-136.30000000000058
1979-02-08 00:00:00,-139.2000000000005
1979-02-09 00:00:00,-134.60000000000053
1979-02-12 00:00:00,-137.30000000000052
1979-02-13 00:00:00,-140.50000000000057
1979-02-14 00:00:00,-136.30000000000058
1979-02-15 00:00:00,-135.10000000000053
1979-02-16 00:00:00,-133.9000000000006
1979-02-20 00:00:00,-129.60000000000048
1979-02-21 00:00:00,-130.40000000000055
1979-02-22 00:00:00,-129.7000000000005
1979-02-23 00:00:00,-127.60000000000053
1979-02-26 00:00:00,-132.60000000000048
1979-02-27 00:00:00,-132.00000000000057
1979-02-28 00:00:00,-131.40000000000055
1979-03-01 00:00:00,-132.7000000000005
1979-03-02 00:00:00,-135.60000000000053
1979-03-05 00:00:00,-133.30000000000058
1979-03-06 00:00:00,-132.80000000000052
1979-03-07 00:00:00,-132.7000000000005
1979-03-08 00:00:00,-135.5000000000005
1979-03-09 00:00:00,-136.70000000000056
1979-03-12 00:00:00,-139.00000000000057
1979-03-13 00:00:00,-140.2000000000005
1979-03-14 00:00:00,-139.60000000000048
1979-03-15 00:00:00,-138.00000000000057
1979-03-16 00:00:00,-138.00000000000057
1979-03-19 00:00:00,-137.80000000000052
1979-03-20 00:00:00,-135.10000000000053
1979-03-21 00:00:00,-133.9000000000006
1979-03-22 00:00:00,-132.80000000000052
1979-03-23 00:00:00,-132.90000000000055
1979-03-26 00:00:00,-130.30000000000052
1979-03-27 00:00:00,-131.7000000000005
1979-03-28 00:00:00,-130.80000000000052
1979-03-29 00:00:00,-132.40000000000055
1979-03-30 00:00:00,-132.90000000000055
1979-04-02 00:00:00,-134.80000000000058
1979-04-03 00:00:00,-138.10000000000048
1979-04-04 00:00:00,-136.60000000000053
1979-04-05 00:00:00,-136.60000000000053
1979-04-06 00:00:00,-133.4000000000006
1979-04-09 00:00:00,-134.10000000000053
1979-04-10 00:00:00,-137.30000000000052
1979-04-11 00:00:00,-136.20000000000056
1979-04-12 00:00:00,-139.2000000000005
1979-04-16 00:00:00,-141.60000000000048
1979-04-17 00:00:00,-140.30000000000052
1979-04-18 00:00:00,-141.2000000000005
1979-04-19 00:00:00,-140.7000000000005
1979-04-20 00:00:00,-141.30000000000052
1979-04-23 00:00:00,-141.2000000000005
1979-04-24 00:00:00,-139.7000000000005
1979-04-25 00:00:00,-139.00000000000057
1979-04-26 00:00:00,-140.30000000000052
1979-04-27 00:00:00,-141.00000000000057
1979-04-30 00:00:00,-143.70000000000053
1979-05-01 00:00:00,-144.1000000000005
1979-05-02 00:00:00,-141.10000000000048
1979-05-03 00:00:00,-139.50000000000057
1979-05-04 00:00:00,-137.10000000000053
1979-05-07 00:00:00,-141.60000000000048
1979-05-08 00:00:00,-144.0000000000006
1979-05-09 00:00:00,-142.7000000000005
1979-05-10 00:00:00,-141.40000000000055
1979-05-11 00:00:00,-143.80000000000055
1979-05-14 00:00:00,-144.90000000000057
1979-05-15 00:00:00,-143.90000000000057
1979-05-16 00:00:00,-145.30000000000052
1979-05-17 00:00:00,-141.60000000000048
1979-05-18 00:00:00,-143.00000000000045
1979-05-21 00:00:00,-140.60000000000048
1979-05-22 00:00:00,-139.80000000000052
1979-05-23 00:00:00,-140.10000000000048
1979-05-24 00:00:00,-141.60000000000048
1979-05-25 00:00:00,-141.60000000000048
1979-05-29 00:00:00,-139.2000000000005
1979-05-30 00:00:00,-140.2000000000005
1979-05-31 00:00:00,-139.00000000000045
1979-06-01 00:00:00,-139.90000000000055
1979-06-04 00:00:00,-137.50000000000045
1979-06-05 00:00:00,-137.60000000000048
1979-06-06 00:00:00,-135.0000000000005
1979-06-07 00:00:00,-133.80000000000058
1979-06-08 00:00:00,-130.60000000000048
1979-06-11 00:00:00,-129.00000000000045
1979-06-12 00:00:00,-130.60000000000048
1979-06-13 00:00:00,-127.4000000000006
1979-06-14 00:00:00,-121.80000000000052
1979-06-15 00:00:00,-112.80000000000064
1979-06-18 00:00:00,-119.00000000000045
